iter	Passed	Remaining
414	3291	4639
415	3297	4629
416	3306	4623
417	3313	4613
418	3322	4606
419	3329	4598
420	3338	4591
421	3346	4584
422	3354	4575
423	3363	4569
424	3371	4561
425	3377	4550
426	3381	4537
427	3387	4526
428	3395	4519
429	3403	4512
430	3411	4504
431	3419	4496
432	3430	4491
433	3468	4522
434	3486	4528
435	3493	4519
436	3503	4513
437	3514	4509
438	3523	4502
439	3529	4492
440	3541	4488
441	3550	4481
442	3557	4473
443	3564	4463
444	3572	4456
445	3582	4450
446	3584	4434
447	3592	4426
448	3603	4422
449	3611	4413
450	3618	4404
451	3626	4396
452	3639	4394
453	3648	4387
454	3657	4380
455	3667	4375
456	3674	4366
457	3686	4362
458	3694	4354
459	3706	4351
460	3712	4340
461	3723	4335
462	3732	4329
463	3742	4323
464	3751	4315
465	3758	4307
466	3770	4303
467	3775	4292
468	3784	4284
469	3787	4271
470	3797	4265
471	3804	4255
472	3814	4249
473	3820	4239
474	3828	4231
475	3835	4222
476	3843	4213
477	3852	4207
478	3858	4197
479	3866	4188
480	3874	4180
481	3882	4172
482	3888	4161
483	3895	4153
484	3901	4142
485	3909	4134
486	3917	4126
487	3924	4117
488	3933	4110
489	3942	4102
490	3950	4095
491	3958	4087
492	3967	4079
493	3971	4068
494	3979	4059
495	3983	4047
496	3989	4037
497	3995	4027
498	4000	4016
499	4006	4006
500	4012	3996
501	4019	3987
502	4024	3976
503	4032	3968
504	4040	3960
505	4048	3952
506	4057	3944
507	4066	3938
508	4076	3932
509	4082	3922
510	4092	3916
511	4099	3907
512	4105	3897
513	4106	3883
514	4114	3875
515	4123	3867
516	4132	3860
517	4139	3852
518	4149	3845
519	4156	3837
520	4166	3830
521	4174	3822
522	4180	3812
523	4186	3803
524	4196	3796
525	4205	3789
526	4212	3781
527	4221	3774
528	4230	3766
529	4237	3757
530	4243	3748
531	4249	3738
532	4257	3730
533	4265	3722
534	4272	3713
535	4281	3706
536	4290	3699
537	4301	3693
538	4312	3688
539	4318	3678
540	4330	3673
541	4338	3666
542	4346	3658
543	4354	3650
544	4355	3636
545	4363	3628
546	4369	3618
547	4378	3611
548	4385	3602
549	4390	3592
550	4398	3583
551	4404	3574
552	4412	3566
553	4420	3558
554	4428	3551
555	4437	3543
556	4447	3537
557	4453	3527
558	4459	3518
559	4468	3510
560	4477	3503
561	4484	3494
562	4492	3487
563	4500	3478
564	4508	3471
565	4517	3463
566	4518	3450
567	4525	3441
568	4530	3431
569	4537	3423
570	4546	3416
571	4552	3406
572	4556	3395
573	4562	3386
574	4567	3375
575	4576	3368
576	4581	3358
577	4587	3349
578	4593	3340
579	4603	3333
