iter	RMSE
312	0.7791425709
313	0.7785618567
314	0.7779864656
315	0.7776660767
316	0.777234615
317	0.7769105123
318	0.7757351295
319	0.7757085543
320	0.7754216944
321	0.7750855267
322	0.7748691064
323	0.7745538694
324	0.7739139699
325	0.7735843516
326	0.7735843452
327	0.77358434
328	0.7729417792
329	0.772405274
330	0.771484196
331	0.7712233624
332	0.770718795
333	0.7703963236
334	0.7697428875
335	0.7693320976
336	0.7691788477
337	0.768758045
338	0.7682763371
339	0.7676352618
340	0.767225282
341	0.7669068828
342	0.7666811184
343	0.7661190476
344	0.7657446062
345	0.7653002777
346	0.7646600511
347	0.7635657865
348	0.7633615793
349	0.7626966508
350	0.7621275011
351	0.7616239847
352	0.7609085702
353	0.760068426
354	0.7598703459
355	0.7596184667
356	0.7591503977
357	0.7587243871
358	0.7583511514
359	0.7579261175
360	0.7573209815
361	0.7571916379
362	0.7561804601
363	0.7560863205
364	0.7556816544
365	0.755404625
366	0.7553805763
367	0.7553107816
368	0.7550890563
369	0.7549189004
370	0.7543058145
371	0.7540903145
372	0.7533923516
373	0.7531384906
374	0.7526656327
375	0.7519921553
376	0.7518458474
377	0.7512634355
378	0.7512634319
379	0.7507076385
380	0.7505242749
381	0.7499344008
382	0.7494916322
383	0.7488933565
384	0.7486183285
385	0.7484747749
386	0.74818673
387	0.7475910255
388	0.7470280481
389	0.746435915
390	0.7460738789
391	0.7456043686
392	0.7454388455
393	0.74529772
394	0.7449298024
395	0.7447642043
396	0.7441596003
397	0.7438365801
398	0.743189947
399	0.7429383446
400	0.7426243854
401	0.7420963887
402	0.7414694901
403	0.7412821402
404	0.740616862
405	0.7403330266
406	0.740192689
407	0.7400789301
408	0.7390453427
409	0.7387908066
410	0.7382073509
411	0.7378970912
412	0.7375868106
413	0.7374010881
414	0.7368775536
415	0.736530313
416	0.7364209166
417	0.7361486383
418	0.7358299887
419	0.7354218875
420	0.7353414762
421	0.7349218262
422	0.7345788786
423	0.7345192412
424	0.7343361005
425	0.7339577137
426	0.7334444971
427	0.7332707914
428	0.7328505135
429	0.7324142028
430	0.7322405122
431	0.7321117032
432	0.7314892999
433	0.7311592954
434	0.730904461
435	0.7308031285
436	0.7305201036
437	0.7303863433
438	0.7301151619
439	0.730009255
440	0.7297076522
441	0.7293214612
442	0.7291920461
443	0.7288176207
444	0.7286195826
445	0.7281066892
446	0.7281066869
447	0.7277180877
448	0.7274405589
449	0.7268903711
450	0.7266295118
451	0.7263910274
452	0.7262358271
453	0.7261201864
454	0.7258057622
455	0.7257041897
456	0.7254738088
457	0.7252098741
458	0.7248698624
459	0.7241839659
460	0.7240498587
461	0.7236380279
462	0.7233262877
463	0.7231299219
464	0.7228128025
465	0.7225593602
466	0.7222054503
467	0.7219658573
468	0.721748507
469	0.7217059528
470	0.721244194
471	0.7210422908
472	0.7208397778
473	0.7206418568
474	0.7202958955
475	0.7198566094
476	0.7196950025
477	0.7195464331
478	0.7194510119
479	0.7191997417
480	0.7187950711
481	0.7185260809
482	0.7182608053
483	0.7179933873
484	0.7176137712
485	0.7173064112
486	0.7169054535
487	0.7167379325
488	0.7163627155
489	0.7162214498
490	0.7160887042
491	0.7155768856
492	0.7151873656
493	0.7151120304
494	0.7143296727
495	0.7140759236
496	0.7136520004
497	0.7135057162
498	0.7132462852
499	0.7131173786
500	0.713029623
501	0.712592412
502	0.712130486
503	0.7113544329
504	0.7112498414
505	0.7111486941
506	0.7109889559
507	0.7108199084
508	0.7106140373
509	0.7104824697
510	0.710129743
511	0.7098503311
512	0.7094830775
513	0.7094830758
514	0.7090762637
515	0.7085555425
516	0.7082661467
517	0.7079706557
518	0.7077365754
519	0.7074274499
520	0.7072074951
521	0.7070682261
522	0.7068091022
523	0.7066986064
524	0.7064190552
525	0.7060735163
526	0.7058112249
527	0.7055345677
528	0.7054374603
529	0.7051374828
530	0.7049540957
531	0.7049107004
532	0.7048850693
533	0.7047331498
534	0.7044162963
535	0.7040388037
536	0.7037448471
537	0.703514115
538	0.7032523598
539	0.7026742552
540	0.7022294597
541	0.7022144299
542	0.7020438762
543	0.7019764193
544	0.701976417
545	0.7013933546
546	0.7012094356
547	0.700895933
548	0.7007823136
549	0.7005684268
550	0.7003639946
551	0.7000689521
552	0.6998260363
553	0.6996439985
554	0.6991333323
555	0.6986540252
556	0.6984635236
557	0.6983855827
558	0.6981446454
559	0.6979483487
560	0.6976267238
561	0.6975223964
562	0.6974126857
563	0.6972515493
564	0.6970050314
565	0.6968869927
566	0.6968869909
567	0.696750014
568	0.6966983332
569	0.6964617434
570	0.6958849911
571	0.6957921799
572	0.6956227189
573	0.6954670353
574	0.6954002306
575	0.6951953349
576	0.6949152479
577	0.6947264833
578	0.6943759429
579	0.6941589754
580	0.6938214315
581	0.6936522507
582	0.6936522501
583	0.6933963618
584	0.6932319949
585	0.6929603437
586	0.6927536312
587	0.6925090189
588	0.6924178728
589	0.6921700185
590	0.6917618273
591	0.6915113374
592	0.6914822734
593	0.6913885639
594	0.6912474565
595	0.6909631399
596	0.6904687033
597	0.6900202574
598	0.6898258828
599	0.6897909198
600	0.6896133097
601	0.6893584041
602	0.6890370189
603	0.688980301
604	0.6886614051
605	0.6885256074
606	0.6883315054
607	0.688012428
608	0.687941518
609	0.6873900062
610	0.6872170892
611	0.6871366243
612	0.6868221195
613	0.686650749
614	0.6862398286
615	0.6860531228
616	0.6858651392
617	0.6854978874
618	0.6853323061
619	0.685182588
620	0.6850423379
621	0.6847935093
622	0.6846409961
623	0.6843491038
624	0.6842443133
625	0.684032499
626	0.6838798403
627	0.6836502846
628	0.6832386153
629	0.6832386135
630	0.6831342682
631	0.6828052549
632	0.6824114957
633	0.6823677361
634	0.6822169596
635	0.6821120016
636	0.6819137384
637	0.6817834007
638	0.6814778905
639	0.681314223
640	0.6811043958
641	0.6809419006
642	0.6808242821
643	0.6803902645
644	0.6803312458
645	0.6801400161
646	0.6796784407
647	0.6796784383
648	0.679357566
649	0.6792226677
650	0.678812442
651	0.6784982002
652	0.6784553986
653	0.6780637531
654	0.6777546069
655	0.6773062977
656	0.6771336278
657	0.6770343319
658	0.6767990863
659	0.6764870681
660	0.6762201489
661	0.6760338639
662	0.6757377173
663	0.6755582576
664	0.6753600628
665	0.6749085599
666	0.674675213
667	0.6742278234
668	0.6738691675
669	0.6736886026
670	0.6734565854
671	0.6731908621
672	0.6730432274
673	0.6729745803
674	0.6728169209
675	0.6724056996
676	0.6721989085
677	0.6721151056
678	0.6718907149
679	0.6717266225
680	0.6716339977
681	0.6715381712
682	0.6713960959
683	0.671310527
684	0.6709941833
685	0.6707654451
686	0.6703637922
687	0.6700682537
688	0.6699653717
689	0.6696657298
690	0.6690656637
691	0.6686213599
692	0.6684284465
693	0.6680930764
694	0.6677335427
695	0.6676259071
696	0.6675952837
697	0.667428513
698	0.6673394904
699	0.6671782738
700	0.6669344001
701	0.6666848236
702	0.6664169697
703	0.6661083656
704	0.6659860367
705	0.6658803399
706	0.6655035497
707	0.665158429
708	0.6645698585
709	0.6645158849
710	0.664381899
711	0.6642459592
712	0.6640368088
713	0.6637869541
714	0.6632414236
715	0.6629707147
716	0.6627924313
717	0.6624659607
718	0.6623816716
719	0.6621445746
720	0.6621445706
721	0.6621086199
722	0.6619027624
723	0.6615963783
724	0.6615355334
725	0.6613718281
726	0.6612393261
727	0.6610433604
728	0.6607651898
729	0.6605434707
730	0.6603590135
731	0.6602764472
732	0.660183915
733	0.6598813428
734	0.659683874
735	0.6593374773
736	0.6592516898
737	0.6591201274
738	0.6590175845
739	0.6588608757
740	0.6587702595
741	0.658665278
742	0.6585137723
743	0.6583308007
744	0.6580529581
745	0.6577520623
746	0.6574213155
747	0.6572782103
748	0.6570557074
749	0.6568617741
750	0.6566383382
751	0.6566122837
752	0.656474392
753	0.656126598
754	0.6560125662
755	0.6557152901
756	0.6555216956
757	0.6552831198
758	0.6550910973
759	0.6549439092
760	0.654826001
761	0.6546992151
762	0.6543960275
763	0.6543646841
764	0.6543239414
765	0.6541682932
766	0.6537069264
767	0.6536256708
768	0.6534808916
769	0.65348089
770	0.6533463638
771	0.653274392
772	0.6531383758
773	0.6530820054
774	0.6530361688
775	0.6529728192
776	0.6528950339
777	0.6527566611
778	0.6526014342
779	0.6526014329
780	0.6525050082
781	0.6521648834
782	0.6520400911
783	0.6519707686
784	0.6518244982
785	0.6517657402
786	0.651570313
787	0.6514907014
788	0.6511944691
789	0.6511085601
790	0.6510303274
791	0.6509867082
792	0.650837324
793	0.6506758431
794	0.6503675838
795	0.6498208867
796	0.6496835548
797	0.6495662827
798	0.6495105171
799	0.6493520865
800	0.6493165701
801	0.649146275
802	0.6489022047
803	0.6485368399
804	0.6484256284
805	0.6482446246
806	0.6481466456
807	0.6478731601
808	0.6477625468
809	0.647624234
810	0.6474296072
811	0.6471374013
812	0.6470639474
813	0.6468287894
814	0.6467208855
815	0.6466840248
816	0.6465560781
817	0.6463646441
818	0.6461545719
819	0.6458755589
820	0.6457642971
821	0.6455748651
822	0.6453969326
823	0.645281489
824	0.6449686971
825	0.6446814883
826	0.6444816748
827	0.6443211423
828	0.6441091453
829	0.6437845054
830	0.6436078075
831	0.6435767334
832	0.6434771274
833	0.6434667519
834	0.6432306684
835	0.6428752279
836	0.6427229218
837	0.6425905684
838	0.6425905675
839	0.6424794194
840	0.6421206596
841	0.6420247541
842	0.6417484349
843	0.6416119706
844	0.6412983608
845	0.6410606817
846	0.6410606812
847	0.6407142778
848	0.6402264265
849	0.6401076516
850	0.6399595473
851	0.6398140797
852	0.6397337224
853	0.6395767229
854	0.6395767223
855	0.6394206115
856	0.639340036
857	0.6392755625
858	0.6391159824
859	0.6389948981
860	0.6387529542
861	0.6381861242
862	0.6379946277
863	0.6376876644
864	0.6375539778
865	0.6374377371
866	0.6373632117
867	0.6371570881
868	0.6368869236
869	0.6367022789
870	0.6366682123
871	0.6365537042
872	0.6362556684
873	0.6358092035
874	0.6357070275
875	0.6356105803
876	0.6354371198
877	0.6352991814
878	0.635127568
879	0.6349604083
880	0.63486148
881	0.6347485584
882	0.6346990273
883	0.6345832539
884	0.6343237241
885	0.6342250315
886	0.6341914647
887	0.6341575609
888	0.6340504713
889	0.6337184988
890	0.6335211849
891	0.6333004294
892	0.6331563377
893	0.6330084092
894	0.6328166581
895	0.6326970602
896	0.6325621616
897	0.6324704697
898	0.6323928766
899	0.6323230475
900	0.6322049167
901	0.6318924009
902	0.631556334
903	0.6314436997
904	0.6313369119
905	0.6311673435
906	0.6308789186
907	0.6308033059
908	0.6306439059
909	0.6306060972
910	0.6305915015
911	0.6304626106
912	0.6303435878
913	0.6301191304
914	0.6299516726
915	0.6296263121
916	0.6293648304
917	0.6292681207
918	0.6288410282
919	0.6286984059
920	0.628339926
921	0.6281297934
922	0.6280712116
923	0.6279576625
924	0.627710387
925	0.6276059944
926	0.6275465778
927	0.6274639616
928	0.6272542802
929	0.6271433343
930	0.6269406573
931	0.6268324681
932	0.6265896475
933	0.6263449386
934	0.6260989399
935	0.625962646
936	0.6257649146
937	0.6255405272
938	0.6254551327
939	0.62536781
940	0.6252373582
941	0.6250407437
942	0.6249251918
943	0.6247228746
944	0.6245930393
945	0.6245481633
946	0.6242480956
947	0.6239463391
948	0.6238769263
949	0.623669925
950	0.6234257774
951	0.6233684934
952	0.6231967751
953	0.6230808329
954	0.6228424938
955	0.6228235096
956	0.6225341888
957	0.6222895432
958	0.6221516416
959	0.62215164
960	0.622088249
961	0.6219163379
962	0.6218656341
963	0.6215755315
964	0.621387403
965	0.6210842115
966	0.6208814795
967	0.6207464549
968	0.6206938827
969	0.6205710669
970	0.6203984722
971	0.6202136309
972	0.6199914804
973	0.6198078873
974	0.6196650212
975	0.6196068303
976	0.6194606635
977	0.6193709894
978	0.6189515699
979	0.6188052617
980	0.6185350725
981	0.6183202293
982	0.618165307
983	0.618052138
984	0.6179252976
985	0.6178896405
986	0.6176404527
987	0.6173338851
988	0.6171751414
989	0.6170245826
990	0.6170037553
991	0.6168508669
992	0.6167948495
993	0.6165895029
994	0.6163578213
995	0.6163067276
996	0.6161369568
997	0.6160688317
998	0.6160443108
999	0.6159692447
